epc,ean,item_cd,category,fixture,store_id
30395DFA81A1E6C00049D2CE,3583784279314,2911289,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A1E740000EB9B0,3583784279338,2911291,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A1E7400068D1E8,3583784279338,2911291,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A1E740006F85F8,3583784279338,2911291,apparel,BR-01,dec-fr-bordeaux
30395DFA81A1E780001FF04B,3583784279345,2911292,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A1E7800060149B,3583784279345,2911292,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A1E78000231DF8,3583784279345,2911292,apparel,BR-02,dec-fr-bordeaux
30395DFA81A1E7C000504878,3583784279352,2911293,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A1E7C000807A82,3583784279352,2911293,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A1E80000386A7D,3583784279369,2911294,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A1E800001F8601,3583784279369,2911294,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A1EDC0007381F9,3583784279598,2911275,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A1EDC000009FD9,3583784279598,2911275,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20EC0006E0C28,3583784280914,2911277,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20EC0008692DD,3583784280914,2911277,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20EC00086D464,3583784280914,2911277,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20EC00090ADB6,3583784280914,2911277,apparel,BR-03,dec-fr-bordeaux
30395DFA81A20F00002BCDFA,3583784280921,2911278,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20F00004C0A5B,3583784280921,2911278,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20F0000881B74,3583784280921,2911278,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20F000069FE8D,3583784280921,2911278,apparel,BR-04,dec-fr-bordeaux
30395DFA81A20F40008F8342,3583784280938,2911279,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20F40001B81C6,3583784280938,2911279,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20F800081B279,3583784280945,2911280,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20F800097C4FF,3583784280945,2911280,apparel,GB-R1-U1,dec-fr-bordeaux
30395DFA81A20F800029D114,3583784280945,2911280,apparel,BR-01,dec-fr-bordeaux
30396061C18068000036134B,3608393936325,5638068,footwear,PE-02,dec-fr-bordeaux
30396061C1806840001D0B01,3608393936332,5638069,footwear,PE-02,dec-fr-bordeaux
30396061C18068800005A9AD,3608393936349,5638070,footwear,PE-02,dec-fr-bordeaux
30396061C18068C000125F1B,3608393936356,5638071,footwear,PE-02,dec-fr-bordeaux
30396061C180690000301619,3608393936363,5638072,footwear,PE-02,dec-fr-bordeaux
30396061C1807040008D6062,3608393936653,5638065,footwear,PE-02,dec-fr-bordeaux
30396061C18070800026764D,3608393936660,5638066,footwear,PE-02,dec-fr-bordeaux
30396061C18070C000558B23,3608393936677,5638067,footwear,PE-02,dec-fr-bordeaux
30396061C193D88000930A49,3608394135383,5779681,footwear,PE-02,dec-fr-bordeaux
30396061C193D8C0000B999D,3608394135390,5779682,footwear,PE-02,dec-fr-bordeaux
30396061C193F100003B4927,3608394136366,5791034,footwear,PE-02,dec-fr-bordeaux
30396061C193F180001A0D8D,3608394136380,5792991,footwear,PE-02,dec-fr-bordeaux
30396061C01B7000008EDF6A,3608390280964,4899397,accessories,GB-R2-U1,dec-fr-bordeaux
30396061C01B7000004105D2,3608390280964,4899397,accessories,GB-R2-U1,dec-fr-bordeaux
30396061C01B70400018EAD5,3608390280971,4899398,accessories,GB-R2-U1,dec-fr-bordeaux
30396061C01B7040008DE9E0,3608390280971,4899398,accessories,GB-R2-U1,dec-fr-bordeaux
30396061C01B7080005A499C,3608390280988,4899399,accessories,GB-R2-U1,dec-fr-bordeaux
30396061C01B708000446D88,3608390280988,4899399,accessories,GB-R2-U1,dec-fr-bordeaux
30396061C06E38800036A41E,3608391128661,4865708,accessories,GB-R3-U1,dec-fr-bordeaux
30396061C06E3880003F7267,3608391128661,4865708,accessories,GB-R3-U1,dec-fr-bordeaux
30396061C06E38C0006E3C15,3608391128678,4865709,accessories,GB-R3-U1,dec-fr-bordeaux
30396061C06E38C000784141,3608391128678,4865709,accessories,GB-R3-U1,dec-fr-bordeaux
30396061C06E390000813324,3608391128685,4865710,accessories,GB-R3-U1,dec-fr-bordeaux
30396061C06E390000227872,3608391128685,4865710,accessories,GB-R3-U1,dec-fr-bordeaux
30396061C06E394000453C2F,3608391128692,4865711,accessories,GB-R3-U1,dec-fr-bordeaux
30396061C06E3940004E540B,3608391128692,4865711,accessories,GB-R3-U1,dec-fr-bordeaux
30395DFA82E3004000554E88,3583787567371,4335158,accessories,ACC-01,dec-fr-bordeaux
30395DFA82E3004000010A6B,3583787567371,4335158,accessories,ACC-01,dec-fr-bordeaux
30395DFA82E30040000837FE,3583787567371,4335158,accessories,ACC-01,dec-fr-bordeaux
30395DFA82E30040003DDDEC,3583787567371,4335158,accessories,ACC-01,dec-fr-bordeaux
30395DFA82E300400000666C,3583787567371,4335158,accessories,ACC-01,dec-fr-bordeaux
30395DFA82E300400086F614,3583787567371,4335158,accessories,ACC-01,dec-fr-bordeaux
30395DFA82E300400033960C,3583787567371,4335158,accessories,ACC-01,dec-fr-bordeaux
