0,color,"{""en"": ""WHITE"", ""ko:"": ""화이트""}",,,WHITE,화이트,,"{""en"": ""WHITE, ""ko:"": ""화이트""}"
1,color,"{""en"": ""OFF WHITE"", ""ko:"": ""오프 화이트""}",,,OFF WHITE,오프 화이트,,"{""en"": ""OFF WHITE, ""ko:"": ""오프 화이트""}"
2,color,"{""en"": ""IVORY"", ""ko:"": ""아이보리""}",,,IVORY,아이보리,,"{""en"": ""IVORY, ""ko:"": ""아이보리""}"
3,color,"{""en"": ""MINT"", ""ko:"": ""민트""}",,,MINT,민트,,"{""en"": ""MINT, ""ko:"": ""민트""}"
4,color,"{""en"": ""MELANGE MINT"", ""ko:"": ""멜란지 민트""}",,,MELANGE MINT,멜란지 민트,,"{""en"": ""MELANGE MINT, ""ko:"": ""멜란지 민트""}"
5,color,"{""en"": ""L/NAVY"", ""ko:"": ""라이트 네이비""}",,,L/NAVY,라이트 네이비,,"{""en"": ""L/NAVY, ""ko:"": ""라이트 네이비""}"
6,color,"{""en"": ""NAVY"", ""ko:"": ""네이비""}",,,NAVY,네이비,,"{""en"": ""NAVY, ""ko:"": ""네이비""}"
7,color,"{""en"": ""MELANGE NAVY"", ""ko:"": ""멜란지 네이비""}",,,MELANGE NAVY,멜란지 네이비,,"{""en"": ""MELANGE NAVY, ""ko:"": ""멜란지 네이비""}"
8,color,"{""en"": ""D/NAVY"", ""ko:"": ""다크 네이비""}",,,D/NAVY,다크 네이비,,"{""en"": ""D/NAVY, ""ko:"": ""다크 네이비""}"
9,color,"{""en"": ""MIX"", ""ko:"": ""믹스""}",,,MIX,믹스,,"{""en"": ""MIX, ""ko:"": ""믹스""}"
10,color,"{""en"": ""STONE"", ""ko:"": ""스톤""}",,,STONE,스톤,,"{""en"": ""STONE, ""ko:"": ""스톤""}"
11,color,"{""en"": ""LIGHT GREY"", ""ko:"": ""라이트 그레이""}",,,LIGHT GREY,라이트 그레이,,"{""en"": ""LIGHT GREY, ""ko:"": ""라이트 그레이""}"
12,color,"{""en"": ""GREY"", ""ko:"": ""그레이""}",,,GREY,그레이,,"{""en"": ""GREY, ""ko:"": ""그레이""}"
13,color,"{""en"": ""MELANGE GREY"", ""ko:"": ""멜란지 그레이""}",,,MELANGE GREY,멜란지 그레이,,"{""en"": ""MELANGE GREY, ""ko:"": ""멜란지 그레이""}"
14,color,"{""en"": ""DARK GREY"", ""ko:"": ""다크 그레이""}",,,DARK GREY,다크 그레이,,"{""en"": ""DARK GREY, ""ko:"": ""다크 그레이""}"
15,color,"{""en"": ""CHACOAL GREY"", ""ko:"": ""차콜 그레이""}",,,CHACOAL GREY,차콜 그레이,,"{""en"": ""CHACOAL GREY, ""ko:"": ""차콜 그레이""}"
16,color,"{""en"": ""KHAKI GRAY"", ""ko:"": ""카키 그레이""}",,,KHAKI GRAY,카키 그레이,,"{""en"": ""KHAKI GRAY, ""ko:"": ""카키 그레이""}"
17,color,"{""en"": """", ""ko:"": """"}",,,,,,"{""en"": "", ""ko:"": """"}"
18,color,"{""en"": """", ""ko:"": """"}",,,,,,"{""en"": "", ""ko:"": """"}"
19,color,"{""en"": ""BLACK"", ""ko:"": ""블랙""}",,,BLACK,블랙,,"{""en"": ""BLACK, ""ko:"": ""블랙""}"
20,color,"{""en"": ""LIGHT BLUE"", ""ko:"": ""라이트 블루""}",,,LIGHT BLUE,라이트 블루,,"{""en"": ""LIGHT BLUE, ""ko:"": ""라이트 블루""}"
21,color,"{""en"": ""BLUE"", ""ko:"": ""블루""}",,,BLUE,블루,,"{""en"": ""BLUE, ""ko:"": ""블루""}"
22,color,"{""en"": ""MELANGE BLUE"", ""ko:"": ""멜란지 블루""}",,,MELANGE BLUE,멜란지 블루,,"{""en"": ""MELANGE BLUE, ""ko:"": ""멜란지 블루""}"
23,color,"{""en"": ""DARK BLUE"", ""ko:"": ""다크 블루""}",,,DARK BLUE,다크 블루,,"{""en"": ""DARK BLUE, ""ko:"": ""다크 블루""}"
24,color,"{""en"": ""SKY BLUE"", ""ko:"": ""스카이 블루""}",,,SKY BLUE,스카이 블루,,"{""en"": ""SKY BLUE, ""ko:"": ""스카이 블루""}"
25,color,"{""en"": ""AQUA BLUE"", ""ko:"": ""아쿠아 블루""}",,,AQUA BLUE,아쿠아 블루,,"{""en"": ""AQUA BLUE, ""ko:"": ""아쿠아 블루""}"
26,color,"{""en"": ""COBALT BLUE"", ""ko:"": ""코발트 블루""}",,,COBALT BLUE,코발트 블루,,"{""en"": ""COBALT BLUE, ""ko:"": ""코발트 블루""}"
27,color,"{""en"": ""ROYAL BLUE"", ""ko:"": ""로얄 블루""}",,,ROYAL BLUE,로얄 블루,,"{""en"": ""ROYAL BLUE, ""ko:"": ""로얄 블루""}"
28,color,"{""en"": ""GREY BLUE"", ""ko:"": ""그레이 블루""}",,,GREY BLUE,그레이 블루,,"{""en"": ""GREY BLUE, ""ko:"": ""그레이 블루""}"
29,color,"{""en"": ""TURKY BLUE"", ""ko:"": ""터키 블루""}",,,TURKY BLUE,터키 블루,,"{""en"": ""TURKY BLUE, ""ko:"": ""터키 블루""}"
30,color,"{""en"": ""LIGHT PINK"", ""ko:"": ""라이트 핑크""}",,,LIGHT PINK,라이트 핑크,,"{""en"": ""LIGHT PINK, ""ko:"": ""라이트 핑크""}"
