store_code,site_id
dec-us-denver,84f2a1c1-fb0a-41b2-9e0d-c9102a22ca7e
dec-us-nyc,62f95632-2937-42ef-b8a5-8308658c5f61
dec-us-sf,2e86875a-007b-41b7-b84e-b44233999255
dec-fr-paris,a6cc38a2-296d-4a4a-8ee3-236d3c44faf1
dec-fr-lyon,88456c3c-f18a-4c27-9ccb-03a30b22435c
dec-fr-marseille,44c835d1-716a-4e3b-bfe3-d6616cddbc4c
dec-fr-bordeaux,02e75ed0-39e2-4329-9961-d0aa49609618
dec-fr-lille,ac27b297-c2a2-4b0a-86ba-0ba9c45cede8
dec-kr-seoul,7d03e0ce-7b4e-4659-9d49-4bdd2daf21c2
dec-kr-busan,cc759cc1-f8ad-4ed3-8b2f-a74c39a02fa7
